subnet,channelName,channelId,messageId,messageUrl,up,down,total,scrapeStatus
ѐ・greencompute・110,ѐ・greencompute・110,1465358502628163759,1508073640606957720,https://discord.com/channels/799672011265015819/1465358502628163759/1508073640606957720,4,9,13,verified
ё・oneoneone・111,ё・oneoneone・111,1375215258678857728,1508073635074539620,https://discord.com/channels/799672011265015819/1375215258678857728/1508073635074539620,7,2,9,verified
ђ・minoτaur・112,ђ・minoτaur・112,1376603375113863178,1508073630171660350,https://discord.com/channels/799672011265015819/1376603375113863178/1508073630171660350,0,0,0,verified
ѓ・tensorusd・113,ѓ・tensorusd・113,1450910875790872700,1508073626249859172,https://discord.com/channels/799672011265015819/1450910875790872700/1508073626249859172,14,1,15,verified
є・soma・114,є・soma・114,1460644425813328004,1508073622089240667,https://discord.com/channels/799672011265015819/1460644425813328004/1508073622089240667,0,0,0,verified
ѕ・soulx・115,ѕ・soulx・115,1379143301478744064,1508073617492152340,https://discord.com/channels/799672011265015819/1379143301478744064/1508073617492152340,0,2,2,verified
ъ・τaolend・116,ъ・τaolend・116,1379496997752410172,1508073613188661268,https://discord.com/channels/799672011265015819/1379496997752410172/1508073613188661268,2,6,8,verified
ⲁ・unclaimed・117,ⲁ・unclaimed・117,1499147039924031508,1508073607790854154,https://discord.com/channels/799672011265015819/1499147039924031508/1508073607790854154,4,1,5,verified
ⲁ・ditto・118,ⲁ・ditto・118,1499448472246419608,1508073603982426214,https://discord.com/channels/799672011265015819/1499448472246419608/1508073603982426214,13,1,14,verified
ⲃ・saτori・119,ⲃ・saτori・119,1381660350818029578,1508073599666225203,https://discord.com/channels/799672011265015819/1381660350818029578/1508073599666225203,0,3,3,verified
ⴷ・ⴷffine・120,ⴷ・ⴷffine・120,1381987595881414656,1508073595434434600,https://discord.com/channels/799672011265015819/1381987595881414656/1508073595434434600,26,3,29,verified
ⲅ・sundae-bar・121,ⲅ・sundae-bar・121,1382818027241738352,1508073590967505007,https://discord.com/channels/799672011265015819/1382818027241738352/1508073590967505007,8,2,10,verified
ⲅ・unclaimed・122,ⲅ・unclaimed・122,1507378701111656568,1508073586932580382,https://discord.com/channels/799672011265015819/1507378701111656568/1508073586932580382,13,2,15,verified
𑀀・mantis・123,𑀀・mantis・123,1384252267770806293,1508073582419247224,https://discord.com/channels/799672011265015819/1384252267770806293/1508073582419247224,10,4,14,verified
𑀁・swarm・124,𑀁・swarm・124,1385341501130801172,1508073577100869654,https://discord.com/channels/799672011265015819/1385341501130801172/1508073577100869654,0,0,0,verified
𑀂・flyspeck・125,𑀂・flyspeck・125,1386721054906646549,1508073572000858112,https://discord.com/channels/799672011265015819/1386721054906646549/1508073572000858112,0,11,11,verified
𑀃・poker44・126,𑀃・poker44・126,1386721120652361800,1508073567462490253,https://discord.com/channels/799672011265015819/1386721120652361800/1508073567462490253,9,7,16,verified
𑀅・asτrid・127,𑀅・asτrid・127,1387151679266230323,1508073563079577781,https://discord.com/channels/799672011265015819/1387151679266230323/1508073563079577781,1,10,11,verified
න・byteleap・128,න・byteleap・128,1387438124132733110,1508073533232644206,https://discord.com/channels/799672011265015819/1387438124132733110/1508073533232644206,0,0,0,verified
